方位角(度),时间,X(度),Y(度)
30.000,2026-06-05 17:39:09.578,0.730,83.280
30.000,2026-06-05 17:39:10.076,0.730,83.280
30.000,2026-06-05 17:39:10.569,0.730,83.280
30.000,2026-06-05 17:39:11.079,0.730,83.280
30.000,2026-06-05 17:39:11.575,0.730,83.280
30.000,2026-06-05 17:39:12.081,0.730,83.280
30.000,2026-06-05 17:39:12.575,0.730,83.280
30.000,2026-06-05 17:39:13.083,0.730,83.280
30.000,2026-06-05 17:39:13.581,0.730,83.280
30.000,2026-06-05 17:39:14.074,0.730,83.280
30.000,2026-06-05 17:39:14.580,0.730,83.290
30.000,2026-06-05 17:39:14.843,0.730,83.290
45.000,2026-06-05 17:39:21.727,0.730,83.300
45.000,2026-06-05 17:39:22.226,0.730,83.300
45.000,2026-06-05 17:39:22.717,0.730,83.300
45.000,2026-06-05 17:39:23.224,0.730,83.300
45.000,2026-06-05 17:39:23.715,0.730,83.300
45.000,2026-06-05 17:39:24.223,0.730,83.300
45.000,2026-06-05 17:39:24.717,0.730,83.300
45.000,2026-06-05 17:39:25.225,0.730,83.300
45.000,2026-06-05 17:39:25.719,0.730,83.290
45.000,2026-06-05 17:39:26.229,0.730,83.300
45.000,2026-06-05 17:39:26.727,0.730,83.300
45.000,2026-06-05 17:39:27.222,0.730,83.300
45.000,2026-06-05 17:39:27.729,0.730,83.300
45.000,2026-06-05 17:39:28.230,0.740,83.300
45.000,2026-06-05 17:39:28.720,0.730,83.300
45.000,2026-06-05 17:39:29.229,0.730,83.300
45.000,2026-06-05 17:39:29.725,0.730,83.300
45.000,2026-06-05 17:39:30.232,0.730,83.300
45.000,2026-06-05 17:39:30.730,0.730,83.300
45.000,2026-06-05 17:39:31.225,0.730,83.300
45.000,2026-06-05 17:39:31.496,0.730,83.300
60.000,2026-06-05 17:39:38.380,0.740,83.310
60.000,2026-06-05 17:39:38.871,0.740,83.310
60.000,2026-06-05 17:39:39.366,0.740,83.310
60.000,2026-06-05 17:39:39.875,0.740,83.310
60.000,2026-06-05 17:39:40.375,0.740,83.310
60.000,2026-06-05 17:39:40.874,0.740,83.310
60.000,2026-06-05 17:39:41.371,0.730,83.310
60.000,2026-06-05 17:39:41.867,0.740,83.310
60.000,2026-06-05 17:39:42.375,0.730,83.310
60.000,2026-06-05 17:39:42.873,0.730,83.310
60.000,2026-06-05 17:39:43.368,0.730,83.310
60.000,2026-06-05 17:39:43.880,0.730,83.310
60.000,2026-06-05 17:39:44.378,0.730,83.310
60.000,2026-06-05 17:39:44.876,0.730,83.310
60.000,2026-06-05 17:39:45.384,0.740,83.310
60.000,2026-06-05 17:39:45.880,0.740,83.310
60.000,2026-06-05 17:39:46.374,0.740,83.310
60.000,2026-06-05 17:39:46.873,0.740,83.310
60.000,2026-06-05 17:39:47.386,0.730,83.310
60.000,2026-06-05 17:39:47.884,0.730,83.310
60.000,2026-06-05 17:39:48.151,0.730,83.310
75.000,2026-06-05 17:39:55.370,0.730,83.320
75.000,2026-06-05 17:39:55.867,0.730,83.330
75.000,2026-06-05 17:39:56.381,0.730,83.330
75.000,2026-06-05 17:39:56.880,0.730,83.320
75.000,2026-06-05 17:39:57.377,0.730,83.320
75.000,2026-06-05 17:39:57.877,0.730,83.320
75.000,2026-06-05 17:39:58.376,0.730,83.330
75.000,2026-06-05 17:39:58.873,0.730,83.320
75.000,2026-06-05 17:39:59.371,0.730,83.320
75.000,2026-06-05 17:39:59.869,0.730,83.320
75.000,2026-06-05 17:40:00.379,0.730,83.320
75.000,2026-06-05 17:40:00.881,0.730,83.320
75.000,2026-06-05 17:40:01.377,0.730,83.320
75.000,2026-06-05 17:40:01.877,0.730,83.320
75.000,2026-06-05 17:40:02.374,0.730,83.320
75.000,2026-06-05 17:40:02.873,0.730,83.320
75.000,2026-06-05 17:40:03.385,0.730,83.320
75.000,2026-06-05 17:40:03.885,0.730,83.320
75.000,2026-06-05 17:40:04.384,0.730,83.330
75.000,2026-06-05 17:40:04.879,0.730,83.330
75.000,2026-06-05 17:40:05.142,0.730,83.320
90.000,2026-06-05 17:40:11.971,0.730,83.330
90.000,2026-06-05 17:40:12.469,0.730,83.340
90.000,2026-06-05 17:40:12.982,0.730,83.340
90.000,2026-06-05 17:40:13.477,0.730,83.330
90.000,2026-06-05 17:40:13.975,0.730,83.340
90.000,2026-06-05 17:40:14.485,0.730,83.340
90.000,2026-06-05 17:40:14.983,0.730,83.340
90.000,2026-06-05 17:40:15.482,0.730,83.340
90.000,2026-06-05 17:40:15.981,0.730,83.330
90.000,2026-06-05 17:40:16.474,0.730,83.330
90.000,2026-06-05 17:40:16.985,0.730,83.340
90.000,2026-06-05 17:40:17.483,0.730,83.340
90.000,2026-06-05 17:40:17.981,0.730,83.340
90.000,2026-06-05 17:40:18.476,0.730,83.330
90.000,2026-06-05 17:40:18.974,0.730,83.330
90.000,2026-06-05 17:40:19.488,0.730,83.330
90.000,2026-06-05 17:40:19.981,0.720,83.340
90.000,2026-06-05 17:40:20.478,0.720,83.340
90.000,2026-06-05 17:40:20.976,0.730,83.340
90.000,2026-06-05 17:40:21.487,0.730,83.330
90.000,2026-06-05 17:40:21.753,0.730,83.330
105.000,2026-06-05 17:40:28.977,0.720,83.350
105.000,2026-06-05 17:40:29.474,0.710,83.350
105.000,2026-06-05 17:40:29.972,0.710,83.350
105.000,2026-06-05 17:40:30.472,0.710,83.350
105.000,2026-06-05 17:40:30.985,0.710,83.340
